sample_year,sample_month,sample_day,sample_hour,sample_minute,sample_seconds,sample_id,sample_method,sample_latitude,sample_longitude,sample_altitude,sample_elevation,sample_intake_height,event_number,BENZ_parameter_formula,BENZ_analysis_group_abbr,BENZ_analysis_value,BENZ_analysis_flag,BRFM_parameter_formula_1,BRFM_analysis_group_abbr_2,BRFM_analysis_value_3,BRFM_analysis_flag_4,C2F6_parameter_formula_5,C2F6_analysis_group_abbr_6,C2F6_analysis_value_7,C2F6_analysis_flag_8,C2H2_parameter_formula_9,C2H2_analysis_group_abbr_10,C2H2_analysis_value_11,C2H2_analysis_flag_12,C2H6_parameter_formula_13,C2H6_analysis_group_abbr_14,C2H6_analysis_value_15,C2H6_analysis_flag_16,C3H8_parameter_formula_17,C3H8_analysis_group_abbr_18,C3H8_analysis_value_19,C3H8_analysis_flag_20,CCL4_parameter_formula,CCL4_analysis_group_abbr,CCL4_analysis_value,CCL4_analysis_flag,CF4_parameter_formula,CF4_analysis_group_abbr,CF4_analysis_value,CF4_analysis_flag,CH3I_parameter_formula,CH3I_analysis_group_abbr,CH3I_analysis_value,CH3I_analysis_flag,CH4_parameter_formula,CH4_analysis_group_abbr,CH4_analysis_value,CH4_analysis_flag,CH4C13_parameter_formula,CH4C13_analysis_group_abbr,CH4C13_nalysis_value,CH4C13_analysis_flag,CHLF_parameter_formula,CHLF_analysis_group_abbr,CHLF_analysis_value,CHLF_analysis_flag,CO_parameter_formula,CO_analysis_group_abbr,CO_analysis_value,CO_analysis_flag,CO2_parameter_formula,CO2_analysis_group_abbr,CO2_analysis_value,CO2_analysis_flag,DIBR_parameter_formula,DIBR_analysis_group_abbr,DIBR_analysis_value,DIBR_analysis_flag,DICL_parameter_formula,DICL_analysis_group_abbr,DICL_analysis_value,DICL_analysis_flag,F113_parameter_formula,F113_analysis_group_abbr,F113_analysis_value,F113_analysis_flag,F115_parameter_formula,F115_analysis_group_abbr,F115_analysis_value,F115_analysis_flag,F11B_parameter_formula,F11B_analysis_group_abbr,F11B_analysis_value,F11B_analysis_flag,F125_parameter_formula,F125_analysis_group_abbr,F125_analysis_value,F125_analysis_flag,F13_parameter_formula,F13_analysis_group_abbr,F13_analysis_value,F13_analysis_flag,F134A_parameter_formula,F134A_analysis_group_abbr,F134A_analysis_value,F134A_analysis_flag,F142B_parameter_formula,F142B_analysis_group_abbr,F142B_analysis_value,F142B_analysis_flag,F143a_parameter_formula,F143a_analysis_group_abbr,F143a_analysis_value,F143a_analysis_flag,F152A_parameter_formula,F152A_analysis_group_abbr,F152A_analysis_value,F152A_analysis_flag,F227E_parameter_formula,F227E_analysis_group_abbr,F227E_analysis_value,F227E_analysis_flag,F23_parameter_formula,F23_analysis_group_abbr,F23_analysis_value,F23_analysis_flag,F236FA_parameter_formula,F236FA_analysis_group_abbr,F236FA_analysis_value,F236FA_analysis_flag,F32_parameter_formula,F32_analysis_group_abbr,F32_analysis_value,F32_analysis_flag,F365M_parameter_formula,F365M_analysis_group_abbr,F365M_analysis_value,F365M_analysis_flag,FC12_parameter_formula,FC12_analysis_group_abbr,FC12_analysis_value,FC12_analysis_flag,H1211_parameter_formula,H1211_analysis_group_abbr,H1211_analysis_value,H1211_analysis_flag,H1301_parameter_formula,H1301_analysis_group_abbr,H1301_analysis_value,H1301_analysis_flag,H2_parameter_formula,H2_analysis_group_abbr,H2_analysis_value,H2_analysis_flag,H2402_parameter_formula,H2402_analysis_group_abbr,H2402_analysis_value,H2402_analysis_flag,HF133a_parameter_formula,HF133a_analysis_group_abbr,HF133a_analysis_value,HF133a_analysis_flag,HF22_parameter_formula,HF22_analysis_group_abbr,HF22_analysis_value,HF22_analysis_flag,IC4H10_parameter_formula,IC4H10_analysis_group_abbr,IC4H10_analysis_value,IC4H10_analysis_flag,IC5H12_parameter_formula,IC5H12_analysis_group_abbr,IC5H12_analysis_value,IC5H12_analysis_flag,MCFA_parameter_formula,MCFA_analysis_group_abbr,MCFA_analysis_value,MCFA_analysis_flag,MEBR_parameter_formula,MEBR_analysis_group_abbr,MEBR_analysis_value,MEBR_analysis_flag,MECL_parameter_formula,MECL_analysis_group_abbr,MECL_analysis_value,MECL_analysis_flag,N2O_parameter_formula,N2O_analysis_group_abbr,N2O_analysis_value,N2O_analysis_flag,NC4H10_parameter_formula,NC4H10_analysis_group_abbr,NC4H10_analysis_value,NC4H10_analysis_flag,NC5H12_parameter_formula,NC5H12_analysis_group_abbr,NC5H12_analysis_value,NC5H12_analysis_flag,NC6H14_parameter_formula,NC6H14_analysis_group_abbr,NC6H14_analysis_value,NC6H14_analysis_flag,OCS_parameter_formula,OCS_analysis_group_abbr,OCS_analysis_value,OCS_analysis_flag,P218_parameter_formula,P218_analysis_group_abbr,P218_analysis_value,P218_analysis_flag,PCE_parameter_formula,PCE_analysis_group_abbr,PCE_analysis_value,PCE_analysis_flag,SF6_CCGG_parameter_formula,SF6_CCGG_analysis_group_abbr,SF6_CCGG_analysis_value,SF6_CCGG_analysis_flag,SF6_HATS_parameter_formula,SF6_HATS_analysis_group_abbr,SF6_HATS_analysis_value,SF6_HATS_analysis_flag,SO2F2_parameter_formula,SO2F2_analysis_group_abbr,SO2F2_analysis_value,SO2F2_analysis_flag
2017,4,27,18,41,12,3921-01-01,R,63.0276,-113.7486,1347.04,299,1048.04,424764,BENZ,HATS,46.479,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.723,...,C2H2,HATS,221.179,...,C2H6,HATS,2067.606,...,C3H8,HATS,526.505,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.166,...,CH3I,HATS,0.128,...,ch4,CCGG,1937.03,..P,ch4c13,SIL,-47.503,..P,CHLF,HATS,16.324,...,co,CCGG,129.31,..P,co2,CCGG,413.5,..P,DIBR,HATS,1.053,...,DICL,HATS,77.1,...,F113,HATS,71.304,...,F115,HATS,8.651,...,F11B,HATS,232.404,...,F125,HATS,24.135,...,F13,HATS,3.35,...,F134A,HATS,101.974,...,F142B,HATS,23.372,...,F143a,HATS,21.597,...,F152A,HATS,10.514,...,F227e,HATS,1.334,...,F23,HATS,30.878,..P,F236fa,HATS,0.151,...,F32,HATS,15.058,...,F365m,HATS,1.132,...,FC12,HATS,514.789,...,H1211,HATS,3.664,...,H1301,HATS,3.345,...,h2,CCGG,506.83,..P,H2402,HATS,0.416,...,HF133a,HATS,0.531,...,HF22,HATS,252.008,...,iC4H10,HATS,59.52,...,iC5H12,HATS,30.968,...,MCFA,HATS,2.462,...,MEBR,HATS,6.956,...,MECL,HATS,565.721,...,n2o,CCGG,330.61,..P,nC4H10,HATS,99.478,...,nC5H12,HATS,28.801,...,nC6H14,HATS,8.219,...,OCS,HATS,526.829,...,P218,HATS,0.606,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.49,..P,sf6,HATS,9.442,...,SO2F2,HATS,2.223,...
2017,4,27,19,0,22,3921-02-01,R,63.7705,-112.9213,2389.91,415,1974.91,424765,BENZ,HATS,39.962,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.71,...,C2H2,HATS,215.157,...,C2H6,HATS,1635.854,...,C3H8,HATS,260.557,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.247,...,CH3I,HATS,0.197,...,ch4,CCGG,1920.14,..P,ch4c13,SIL,-47.452,..P,CHLF,HATS,17.436,...,co,CCGG,126.74,..P,co2,CCGG,412.44,..P,DIBR,HATS,1.088,...,DICL,HATS,80.471,...,F113,HATS,71.443,...,F115,HATS,8.63,...,F11B,HATS,232.688,...,F125,HATS,24.17,...,F13,HATS,3.389,...,F134A,HATS,102.333,...,F142B,HATS,23.667,...,F143a,HATS,21.727,...,F152A,HATS,10.486,...,F227e,HATS,1.476,...,F23,HATS,30.497,..P,F236fa,HATS,0.184,...,F32,HATS,15.366,...,F365m,HATS,1.078,...,FC12,HATS,515.052,...,H1211,HATS,3.643,...,H1301,HATS,3.303,...,h2,CCGG,502.5,..P,H2402,HATS,0.425,...,HF133a,HATS,0.563,...,HF22,HATS,252.127,...,iC4H10,HATS,20.442,...,iC5H12,HATS,6.028,...,MCFA,HATS,2.517,...,MEBR,HATS,6.969,...,MECL,HATS,577.9,...,n2o,CCGG,330.09,..P,nC4H10,HATS,29.247,...,nC5H12,HATS,4.191,...,nC6H14,HATS,1.567,...,OCS,HATS,519.23,...,P218,HATS,0.622,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.45,..P,sf6,HATS,9.505,...,SO2F2,HATS,2.179,...
2017,4,27,19,29,36,3921-03-01,R,64.8586,-111.6269,490.99,431,59.99,424766,BENZ,HATS,59.55,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.701,...,C2H2,HATS,87.707,...,C2H6,HATS,1307.678,...,C3H8,HATS,177.429,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.231,...,CH3I,HATS,0.114,...,ch4,CCGG,1938.67,..P,ch4c13,SIL,-47.416,..P,CHLF,HATS,16.255,...,co,CCGG,131.34,..P,co2,CCGG,413.5,..P,DIBR,HATS,1.186,...,DICL,HATS,73.742,...,F113,HATS,71.311,...,F115,HATS,8.63,...,F11B,HATS,232.641,...,F125,HATS,24.154,...,F13,HATS,3.289,...,F134A,HATS,102.105,...,F142B,HATS,23.423,...,F143a,HATS,21.717,...,F152A,HATS,10.534,...,F227e,HATS,1.341,...,F23,HATS,30.178,..P,F236fa,HATS,0.149,...,F32,HATS,14.86,...,F365m,HATS,1.088,...,FC12,HATS,515.052,...,H1211,HATS,3.612,...,H1301,HATS,3.301,...,h2,CCGG,491.95,..P,H2402,HATS,0.426,...,HF133a,HATS,0.533,...,HF22,HATS,251.533,...,iC4H10,HATS,18.906,...,iC5H12,HATS,4.287,...,MCFA,HATS,2.508,...,MEBR,HATS,7.435,...,MECL,HATS,552.615,...,n2o,CCGG,329.98,..P,nC4H10,HATS,20.366,...,nC5H12,HATS,2.78,...,nC6H14,HATS,0.889,...,OCS,HATS,510.882,...,P218,HATS,0.626,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.47,..P,sf6,HATS,9.418,...,SO2F2,HATS,2.247,...
2017,4,28,18,19,56,3921-04-01,R,61.8914,-118.0389,2965.39,190,2775.39,424767,BENZ,HATS,39.038,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.739,...,C2H2,HATS,205.634,...,C2H6,HATS,1678.149,...,C3H8,HATS,298.6,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.109,...,CH3I,HATS,0.151,...,ch4,CCGG,1921.53,..P,ch4c13,SIL,-47.483,..P,CHLF,HATS,17.175,...,co,CCGG,124.76,..P,co2,CCGG,412.36,..P,DIBR,HATS,1.111,...,DICL,HATS,81.688,...,F113,HATS,71.296,...,F115,HATS,8.606,...,F11B,HATS,232.286,...,F125,HATS,24.138,...,F13,HATS,3.33,...,F134A,HATS,101.974,...,F142B,HATS,26.614,...,F143a,HATS,21.597,...,F152A,HATS,10.412,...,F227e,HATS,1.316,...,F23,HATS,30.657,..P,F236fa,HATS,0.161,...,F32,HATS,15.383,...,F365m,HATS,1.079,...,FC12,HATS,514.264,...,H1211,HATS,3.567,...,H1301,HATS,3.315,...,h2,CCGG,506.42,..P,H2402,HATS,0.416,...,HF133a,HATS,0.543,...,HF22,HATS,252.317,...,iC4H10,HATS,26.435,...,iC5H12,HATS,9.639,...,MCFA,HATS,2.501,...,MEBR,HATS,6.978,...,MECL,HATS,577.354,...,n2o,CCGG,329.65,..P,nC4H10,HATS,40.092,...,nC5H12,HATS,8.694,...,nC6H14,HATS,2.512,...,OCS,HATS,518.556,...,P218,HATS,0.602,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.46,..P,sf6,HATS,9.456,...,SO2F2,HATS,2.215,...
2017,4,28,18,55,46,3921-05-01,R,61.2958,-121.2938,314.12,254,60.12,424768,BENZ,HATS,48.272,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.743,...,C2H2,HATS,201.202,...,C2H6,HATS,1896.468,...,C3H8,HATS,453.508,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.215,...,CH3I,HATS,0.197,...,ch4,CCGG,1952.86,..P,ch4c13,SIL,-47.505,..P,CHLF,HATS,16.651,...,co,CCGG,130.54,..P,co2,CCGG,416.73,..P,DIBR,HATS,1.083,...,DICL,HATS,74.452,...,F113,HATS,71.34,...,F115,HATS,8.574,...,F11B,HATS,232.972,...,F125,HATS,24.284,...,F13,HATS,3.351,...,F134A,HATS,101.852,...,F142B,HATS,23.372,...,F143a,HATS,21.489,...,F152A,HATS,10.641,...,F227e,HATS,1.329,...,F23,HATS,30.515,..P,F236fa,HATS,0.167,...,F32,HATS,15.088,...,F365m,HATS,1.078,...,FC12,HATS,515.105,...,H1211,HATS,3.645,...,H1301,HATS,3.323,...,h2,CCGG,486.7,..P,H2402,HATS,0.416,...,HF133a,HATS,0.544,...,HF22,HATS,251.961,...,iC4H10,HATS,51.091,...,iC5H12,HATS,22.445,...,MCFA,HATS,2.422,...,MEBR,HATS,6.953,...,MECL,HATS,554.8,...,n2o,CCGG,330.37,..P,nC4H10,HATS,83.637,...,nC5H12,HATS,24.042,...,nC6H14,HATS,6.638,...,OCS,HATS,495.797,...,P218,HATS,0.615,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.44,..P,sf6,HATS,9.432,...,SO2F2,HATS,2.26,...
2017,4,28,19,59,29,3921-06-01,R,63.5741,-124.234,3838.95,346,3492.95,424769,BENZ,HATS,43.343,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.729,...,C2H2,HATS,221.485,...,C2H6,HATS,1695.04,...,C3H8,HATS,289.905,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.223,...,CH3I,HATS,0.242,...,ch4,CCGG,1923.25,..P,ch4c13,SIL,-47.697,..P,CHLF,HATS,18.719,...,co,CCGG,131.34,..P,co2,CCGG,411.18,..P,DIBR,HATS,1.064,...,DICL,HATS,88.507,...,F113,HATS,71.414,...,F115,HATS,8.667,...,F11B,HATS,233.019,...,F125,HATS,24.48,...,F13,HATS,3.368,...,F134A,HATS,102.634,...,F142B,HATS,23.837,...,F143a,HATS,21.629,...,F152A,HATS,10.51,...,F227e,HATS,1.393,...,F23,HATS,30.994,..P,F236fa,HATS,0.157,...,F32,HATS,15.531,...,F365m,HATS,1.078,...,FC12,HATS,514.369,...,H1211,HATS,3.577,...,H1301,HATS,3.357,...,h2,CCGG,507.06,..P,H2402,HATS,0.423,...,HF133a,HATS,0.573,...,HF22,HATS,254.36,...,iC4H10,HATS,24.039,...,iC5H12,HATS,7.898,...,MCFA,HATS,2.441,...,MEBR,HATS,7.017,...,MECL,HATS,580.413,...,n2o,CCGG,330.23,..P,nC4H10,HATS,36.711,...,nC5H12,HATS,7.296,...,nC6H14,HATS,2.366,...,OCS,HATS,521.438,...,P218,HATS,0.621,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.5,..P,sf6,HATS,9.519,...,SO2F2,HATS,2.182,...
2017,4,28,20,52,7,3921-07-01,R,65.5123,-127.7299,58.7,19,39.7,424770,BENZ,HATS,54.464,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.691,...,C2H2,HATS,151.188,...,C2H6,HATS,1560.196,...,C3H8,HATS,268.514,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.166,...,CH3I,HATS,0.14,...,ch4,CCGG,1937.9,..P,ch4c13,SIL,-47.493,..P,CHLF,HATS,16.469,...,co,CCGG,128.13,..P,co2,CCGG,413.9,..P,DIBR,HATS,1.217,...,DICL,HATS,74.028,...,F113,HATS,71.04,...,F115,HATS,8.616,...,F11B,HATS,232.404,...,F125,HATS,24.191,...,F13,HATS,3.337,...,F134A,HATS,101.925,...,F142B,HATS,23.426,...,F143a,HATS,21.531,...,F152A,HATS,10.359,...,F227e,HATS,1.33,...,F23,HATS,30.285,..P,F236fa,HATS,0.139,...,F32,HATS,15.145,...,F365m,HATS,1.084,...,FC12,HATS,514.369,...,H1211,HATS,3.566,...,H1301,HATS,3.338,...,h2,CCGG,492.45,..P,H2402,HATS,0.419,...,HF133a,HATS,0.514,...,HF22,HATS,251.486,...,iC4H10,HATS,26.05,...,iC5H12,HATS,6.338,...,MCFA,HATS,2.505,...,MEBR,HATS,7.155,...,MECL,HATS,553.872,...,n2o,CCGG,330.09,..P,nC4H10,HATS,34.192,...,nC5H12,HATS,4.726,...,nC6H14,HATS,1.62,...,OCS,HATS,506.091,...,P218,HATS,0.612,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.44,..P,sf6,HATS,9.432,...,SO2F2,HATS,2.286,...
2017,4,28,22,23,48,3921-08-01,R,67.0935,-130.5632,3314.77,173,3141.77,424771,BENZ,HATS,38.713,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.714,...,C2H2,HATS,206.781,...,C2H6,HATS,1592.999,...,C3H8,HATS,233.428,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.272,...,CH3I,HATS,0.162,...,ch4,CCGG,1920.31,..P,ch4c13,SIL,-47.589,..P,CHLF,HATS,18.103,...,co,CCGG,126.91,..P,co2,CCGG,411.91,..P,DIBR,HATS,1.046,...,DICL,HATS,84.176,...,F113,HATS,71.062,...,F115,HATS,8.619,...,F11B,HATS,233.019,...,F125,HATS,24.345,...,F13,HATS,3.302,...,F134A,HATS,102.08,...,F142B,HATS,23.658,...,F143a,HATS,21.775,...,F152A,HATS,10.421,...,F227e,HATS,1.307,...,F23,HATS,30.604,..P,F236fa,HATS,0.182,...,F32,HATS,15.17,...,F365m,HATS,1.056,...,FC12,HATS,514.316,...,H1211,HATS,3.55,...,H1301,HATS,3.324,...,h2,CCGG,508.47,..P,H2402,HATS,0.43,...,HF133a,HATS,0.55,...,HF22,HATS,253.243,...,iC4H10,HATS,16.831,...,iC5H12,HATS,5.031,...,MCFA,HATS,2.395,...,MEBR,HATS,7.055,...,MECL,HATS,579.704,...,n2o,CCGG,329.88,..P,nC4H10,HATS,25.573,...,nC5H12,HATS,4.025,...,nC6H14,HATS,1.44,...,OCS,HATS,523.085,...,P218,HATS,0.622,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.52,..P,sf6,HATS,9.465,...,SO2F2,HATS,2.181,...
2017,4,29,18,15,56,3921-09-01,R,67.8639,-137.5225,2909.19,755,2154.19,424772,BENZ,HATS,44.292,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.65,...,C2H2,HATS,234.799,...,C2H6,HATS,1805.036,...,C3H8,HATS,327.295,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.15,...,CH3I,HATS,0.082,...,ch4,CCGG,1925.24,..P,ch4c13,SIL,-47.514,..P,CHLF,HATS,15.861,...,co,CCGG,126.63,..P,co2,CCGG,412.48,..P,DIBR,HATS,1.049,...,DICL,HATS,77.268,...,F113,HATS,71.018,...,F115,HATS,8.604,...,F11B,HATS,232.026,...,F125,HATS,24.314,...,F13,HATS,3.371,...,F134A,HATS,102.594,...,F142B,HATS,23.416,...,F143a,HATS,21.813,...,F152A,HATS,10.615,...,F227e,HATS,1.35,...,F23,HATS,30.692,..P,F236fa,HATS,0.149,...,F32,HATS,15.297,...,F365m,HATS,1.1,...,FC12,HATS,514.421,...,H1211,HATS,3.551,...,H1301,HATS,3.273,...,h2,CCGG,506.96,..P,H2402,HATS,0.413,...,HF133a,HATS,0.539,...,HF22,HATS,251.889,...,iC4H10,HATS,27.193,...,iC5H12,HATS,7.853,...,MCFA,HATS,2.431,...,MEBR,HATS,6.929,...,MECL,HATS,574.024,...,n2o,CCGG,330.03,..P,nC4H10,HATS,43.598,...,nC5H12,HATS,6.22,...,nC6H14,HATS,1.911,...,OCS,HATS,520.128,...,P218,HATS,0.608,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.49,..P,sf6,HATS,9.39,...,SO2F2,HATS,2.167,...
2017,4,29,18,37,15,3921-10-01,R,67.541,-140.0628,370.19,308,62.19,424773,BENZ,HATS,53.727,...,BRFM,HATS,-999.99,FIL,C2F6,HATS,4.672,...,C2H2,HATS,169.898,...,C2H6,HATS,1646.043,...,C3H8,HATS,292.035,...,CCL4,HATS,-999.99,FIL,CF4,HATS,84.06,...,CH3I,HATS,0.2,...,ch4,CCGG,1942.71,..P,ch4c13,SIL,-47.452,..P,CHLF,HATS,16.323,...,co,CCGG,128.54,..P,co2,CCGG,414.45,..P,DIBR,HATS,1.179,...,DICL,HATS,73.885,...,F113,HATS,71.238,...,F115,HATS,8.617,...,F11B,HATS,232.31,...,F125,HATS,24.107,...,F13,HATS,3.388,...,F134A,HATS,101.844,...,F142B,HATS,23.363,...,F143a,HATS,21.571,...,F152A,HATS,10.619,...,F227e,HATS,1.333,...,F23,HATS,30.338,..P,F236fa,HATS,0.164,...,F32,HATS,15.011,...,F365m,HATS,1.095,...,FC12,HATS,515.735,...,H1211,HATS,3.603,...,H1301,HATS,3.384,...,h2,CCGG,483.92,..P,H2402,HATS,0.408,...,HF133a,HATS,0.524,...,HF22,HATS,251.106,...,iC4H10,HATS,28.819,...,iC5H12,HATS,10.101,...,MCFA,HATS,2.579,...,MEBR,HATS,7.052,...,MECL,HATS,550.924,...,n2o,CCGG,330.29,..P,nC4H10,HATS,48.48,...,nC5H12,HATS,8.041,...,nC6H14,HATS,2.294,...,OCS,HATS,497.256,...,P218,HATS,0.632,...,PCE,HATS,-999.99,FIL,sf6,CCGG,9.41,..P,sf6,HATS,9.479,...,SO2F2,HATS,2.166,...
